,Runtime
1,146
2,107
3,127
4,105
5,181
6,137
7,28
8,105
9,10
10,12
11,135
12,113
13,118
14,113
15,137
16,136
17,189
18,93
19,27
20,96
21,137
22,129
23,107
24,31
25,130
26,156
27,130
28,142
29,120
30,123
31,128
32,91
33,30
34,160
35,128
36,7
37,55
38,112
39,104
40,112
41,22
42,130
43,121
44,195
45,139
46,89
47,42
48,115
49,125
50,30
51,12
52,127
53,142
54,127
55,101
56,110
57,133
58,104
59,105
60,38
61,135
62,118
63,12
64,23
65,23
66,116
67,154
68,111
69,106
70,122
71,95
72,117
73,178
74,117
75,39
76,140
77,102
78,108
79,81
80,30
81,39
82,91
83,136
84,105
85,139
86,53
87,162
88,88
89,35
90,105
91,95
92,124
93,135
94,81
95,100
96,110
97,145
98,135
99,139
100,126
101,138
102,194
103,96
104,28
105,122
106,98
107,91
108,4
109,26
110,116
111,114
112,123
113,169
114,100
115,40
116,124
117,99
118,139
119,11
120,113
121,105
122,122
123,126
124,118
125,127
126,105
127,160
128,94
129,39
130,136
131,101
132,130
133,110
134,86
135,30
136,155
137,147
138,131
139,122
140,120
141,122
142,99
143,104
144,107
145,8
146,35
147,116
148,122
149,122
150,60
151,111
152,135
153,90
154,127
155,178
156,111
157,40
158,144
159,92
160,3
161,128
162,183
163,131
164,150
165,115
166,110
167,113
168,125
169,117
170,120
171,34
172,141
173,123
174,110
175,6
176,30
177,179
178,112
179,138
180,109
181,154
182,100
183,201
184,138
185,107
186,39
187,99
188,23
189,40
190,102
191,152
192,132
193,170
194,115
195,40
196,126
197,50
198,106
199,126
200,60
201,26
202,127
203,127
204,108
205,114
206,128
207,136
208,129
209,85
210,134
211,80
212,39
213,100
214,95
215,143
216,116
217,28
218,27
219,134
220,123
221,101
222,103
223,130
224,108
225,118
226,123
227,151
228,96
229,38
230,137
231,143
232,15
233,21
234,141
235,151
236,158
237,122
238,140
239,119
240,111
241,116
242,114
243,106
244,103
245,115
246,99
247,123
248,86
249,32
250,31
251,113
252,96
253,128
254,152
255,124
256,96
257,98
258,166
259,120
260,30
261,94
262,39
263,97
264,12
265,140
266,112
267,153
268,129
269,110
270,96
271,23
272,105
273,131
274,92
275,33
276,129
277,50
278,16
279,21
280,118
281,116
282,108
283,103
284,108
285,148
286,109
287,40
288,120
289,118
290,103
291,15
292,18
293,100
294,105
295,105
296,146
297,107
298,126
299,113
300,91
301,158
302,123
303,120
304,15
305,29
306,115
307,96
308,150
309,165
310,122
311,158
312,93
313,127
314,129
315,86
316,119
317,120
318,127
319,143
320,7
321,60
322,157
323,117
324,98
325,134
326,102
327,91
328,143
329,91
330,39
331,141
332,11
333,23
334,126
335,123
336,106
337,101
338,165
339,102
340,119
341,99
342,114
343,40
344,82
345,128
346,95
347,22
348,133
349,169
350,114
351,156
352,142
353,118
354,119
355,95
356,120
357,60
358,40
359,107
360,168
361,148
362,129
363,11
364,12
365,108
366,130
367,137
368,111
369,128
370,139
371,108
372,132
373,467
374,41
375,139
376,124
377,123
378,6
379,108
380,116
381,106
382,125
383,115
384,119
385,105
386,164
387,130
388,123
389,120
390,40
391,106
392,104
393,6
394,20
395,132
396,104
397,134
398,130
399,119
400,119
401,117
402,52
403,134
404,100
405,26
406,28
407,136
408,8
409,118
410,141
411,135
412,122
413,161
414,118
415,137
416,100
417,119
418,135
419,132
420,110
421,39
422,152
423,109
424,121
425,7
426,21
427,108
